Order_ID,Customer_ID,Order_Date,Month,City,Zone,Restaurant_Name,Cuisine,Customer_Type,Items_Count,Food_Amount,Discount_Amount,Delivery_Fee,Tax_Amount,Final_Order_Value,Payment_Mode,Delivery_Partner,Distance_km,Expected_Delivery_Min,Actual_Delivery_Min,Late_duration,Late_Delivery,Order_Status,Customer_Rating,Weather,Offer_Type,Revenue
ORD00020,CUST0072,02-04-2025,April,Bengaluru,Central,Curry Corner,Desserts,Returning,5,"₹ 1,000.94",₹ 0.00,₹ 25.00,₹ 50.05,"₹ 1,075.99",Debit Card,DoorDashPro,3.8,39,40,1,No,Delivered,4.9,Clear,No Offer,High
ORD00021,CUST0001,16-11-2025,November,Bengaluru,East,Roll Nation,Rolls,Returning,3,₹ 473.41,₹ 0.00,₹ 45.00,₹ 23.67,₹ 542.08,Debit Card,DoorDashPro,8.5,45,49,4,No,Delivered,4.1,Cloudy,No Offer,High
ORD00022,CUST0151,27-05-2025,May,Chennai,West,Cafe Crave,Healthy,Returning,2,₹ 553.51,₹ 50.00,₹ 55.00,₹ 25.18,₹ 583.69,Wallet,Zippy,4.7,36,38,2,No,Delivered,3.9,Cloudy,Flat 50,High
ORD00023,CUST0256,24-01-2025,January,Bengaluru,West,Foodie's Stop,Desserts,New,2,₹ 417.67,₹ 50.00,₹ 0.00,₹ 18.38,₹ 386.05,Cash,Zippy,9.6,50,59,9,Yes,Delivered,4.5,Clear,Flat 50,High
ORD00024,CUST0284,22-08-2025,August,Jaipur,Central,Zest Kitchen,Rolls,Returning,5,₹ 733.85,₹ 146.77,₹ 45.00,₹ 29.35,₹ 661.43,Cash,UrbanRunner,10.9,62,69,7,Yes,Delivered,4.5,Rainy,20% Off,Medium
ORD00025,CUST0426,06-09-2025,September,Jaipur,North,Sweet Treats,North Indian,New,1,₹ 407.33,₹ 0.00,₹ 0.00,₹ 20.37,₹ 427.70,Debit Card,Zippy,8.8,43,48,5,No,Delivered,4.4,Clear,Free Delivery,High
ORD00026,CUST0280,16-04-2025,April,Kolkata,Central,Meal Monk,Desserts,New,4,₹ 814.42,₹ 0.00,₹ 45.00,₹ 40.72,₹ 900.14,Debit Card,QuickRider,6.9,52,54,2,No,Delivered,3.3,Cloudy,No Offer,Medium
ORD00027,CUST0389,06-09-2025,September,Chennai,West,Cafe Crave,Burger,Premium,4,₹ 820.52,₹ 50.00,₹ 0.00,₹ 38.53,₹ 809.05,Wallet,DoorDashPro,8.1,43,43,0,No,Delivered,3.9,Hot,Flat 50,High
ORD00028,CUST0021,19-04-2025,April,Chennai,West,Noodle Hub,North Indian,New,5,"₹ 2,035.78",₹ 50.00,₹ 25.00,₹ 99.29,"₹ 2,110.07",UPI,UrbanRunner,8.2,40,42,2,No,Delivered,4.6,Cloudy,Flat 50,High
ORD00029,CUST0320,20-03-2025,March,Jaipur,North,Wok Express,Momos,Returning,2,₹ 206.53,₹ 41.31,₹ 0.00,₹ 8.26,₹ 173.48,Debit Card,UrbanRunner,9.6,48,46,-2,No,Delivered,3.6,Cold,20% Off,High
ORD00030,CUST0350,13-12-2025,December,Mumbai,North,Sweet Treats,Momos,New,5,₹ 834.15,₹ 0.00,₹ 0.00,₹ 41.71,₹ 875.86,Debit Card,Zippy,9.6,54,65,11,Yes,Delivered,3.2,Rainy,Free Delivery,Low
ORD00031,CUST0089,04-08-2025,August,Pune,East,Dosa Delight,Healthy,Returning,3,₹ 724.04,₹ 108.61,₹ 45.00,₹ 30.77,₹ 691.20,Wallet,DoorDashPro,6.1,41,43,2,No,Delivered,3.6,Clear,Combo Offer,High
ORD00032,CUST0088,19-08-2025,August,Jaipur,Central,Tandoor Tales,Momos,Returning,2,₹ 267.73,₹ 0.00,₹ 0.00,₹ 13.39,₹ 281.12,Cash,FastFleet,4.7,37,53,16,No,Cancelled,,Rainy,Free Delivery,High
ORD00033,CUST0361,28-07-2025,July,Mumbai,West,Cafe Crave,Healthy,Returning,4,"₹ 1,207.68",₹ 0.00,₹ 25.00,₹ 60.38,"₹ 1,293.06",UPI,QuickRider,4.4,39,55,16,Yes,Delivered,4.3,Rainy,No Offer,Medium
ORD00034,CUST0199,19-05-2025,May,Mumbai,North,Momo Street,Chinese,New,2,₹ 617.10,₹ 92.56,₹ 25.00,₹ 26.23,₹ 575.77,Wallet,DoorDashPro,3.4,40,44,4,No,Refunded,,Clear,Combo Offer,High
ORD00035,CUST0053,27-04-2025,April,Hyderabad,North,Dosa Delight,Rolls,New,2,₹ 275.57,₹ 50.00,₹ 0.00,₹ 11.28,₹ 236.85,UPI,DoorDashPro,10.6,55,69,14,Yes,Delivered,3.2,Rainy,Flat 50,High
ORD00036,CUST0390,02-09-2025,September,Bengaluru,West,Pizza Palace,Healthy,Returning,5,"₹ 1,542.06",₹ 0.00,₹ 25.00,₹ 77.10,"₹ 1,644.16",UPI,QuickRider,2.3,34,36,2,No,Delivered,4.2,Cloudy,No Offer,Medium
ORD00037,CUST0462,15-08-2025,August,Pune,East,Zest Kitchen,Momos,New,2,₹ 289.05,₹ 43.36,₹ 0.00,₹ 12.28,₹ 257.97,UPI,UrbanRunner,2.7,28,33,5,No,Delivered,3.9,Rainy,Combo Offer,High
ORD00038,CUST0074,29-08-2025,August,Mumbai,East,Cafe Crave,North Indian,New,5,"₹ 1,598.90",₹ 0.00,₹ 0.00,₹ 79.95,"₹ 1,678.85",Credit Card,Zippy,2.3,28,31,3,No,Delivered,3.3,Cloudy,Free Delivery,Medium
ORD00039,CUST0235,26-03-2025,March,Hyderabad,West,Cafe Crave,Pizza,Returning,5,"₹ 1,947.20",₹ 292.08,₹ 55.00,₹ 82.76,"₹ 1,792.88",Cash,UrbanRunner,1.4,32,35,3,No,Delivered,4.1,Cloudy,Combo Offer,High
ORD00040,CUST0108,28-10-2025,October,Hyderabad,Central,Biryani House,Biryani,Returning,2,₹ 664.85,₹ 0.00,₹ 0.00,₹ 33.24,₹ 698.09,Cash,FastFleet,11.7,65,70,5,No,Delivered,4.1,Clear,Free Delivery,High
ORD00041,CUST0193,18-06-2025,June,Jaipur,East,Quick Fork,Desserts,New,3,₹ 620.91,₹ 0.00,₹ 55.00,₹ 31.05,₹ 706.96,UPI,UrbanRunner,10.1,45,54,9,Yes,Delivered,4.5,Cloudy,No Offer,High
ORD00042,CUST0096,05-07-2025,July,Jaipur,North,Healthy Bowl,Chinese,Returning,4,"₹ 1,450.94",₹ 0.00,₹ 55.00,₹ 72.55,"₹ 1,578.49",Debit Card,FastFleet,9.8,49,44,-5,No,Delivered,5,Clear,No Offer,High
ORD00043,CUST0283,28-02-2025,February,Delhi,West,Flavour Factory,North Indian,Returning,4,"₹ 1,406.11",₹ 0.00,₹ 0.00,₹ 70.31,"₹ 1,476.42",Cash,QuickRider,3.1,40,39,-1,No,Delivered,4.9,Cloudy,Free Delivery,High
ORD00044,CUST0245,24-06-2025,June,Kolkata,East,Foodie's Stop,North Indian,Returning,4,"₹ 1,290.58",₹ 0.00,₹ 0.00,₹ 64.53,"₹ 1,355.11",Cash,UrbanRunner,9.4,55,65,10,Yes,Delivered,3.9,Rainy,Free Delivery,High
ORD00045,CUST0468,16-07-2025,July,Pune,North,Meal Monk,South Indian,Returning,2,₹ 418.86,₹ 0.00,₹ 55.00,₹ 20.94,₹ 494.80,Cash,Zippy,11.6,59,68,9,Yes,Delivered,4,Hot,No Offer,High
ORD00046,CUST0241,15-03-2025,March,Delhi,North,Healthy Bowl,Healthy,Returning,3,"₹ 1,024.70",₹ 204.94,₹ 45.00,₹ 40.99,₹ 905.75,Cash,DoorDashPro,11.5,64,60,-4,No,Delivered,3.6,Hot,20% Off,Medium
ORD00047,CUST0081,27-04-2025,April,Bengaluru,North,Biryani House,Healthy,Returning,1,₹ 272.61,₹ 0.00,₹ 25.00,₹ 13.63,₹ 311.24,UPI,UrbanRunner,3.7,39,44,5,No,Delivered,4.5,Rainy,No Offer,High
ORD00048,CUST0435,15-07-2025,July,Delhi,South,Healthy Bowl,Healthy,Returning,4,"₹ 1,328.52",₹ 0.00,₹ 0.00,₹ 66.43,"₹ 1,394.95",UPI,DoorDashPro,1.8,31,35,4,No,Delivered,3.8,Cold,Free Delivery,Medium
ORD00049,CUST0294,22-08-2025,August,Pune,West,Sweet Treats,Pizza,Returning,3,"₹ 1,534.12",₹ 50.00,₹ 45.00,₹ 74.21,"₹ 1,603.33",Debit Card,FastFleet,4,28,38,10,Yes,Delivered,4.1,Hot,Flat 50,High
ORD00050,CUST0136,07-11-2025,November,Mumbai,Central,Dosa Delight,North Indian,Returning,4,"₹ 1,514.16",₹ 0.00,₹ 25.00,₹ 75.71,"₹ 1,614.87",UPI,UrbanRunner,2,30,38,8,Yes,Delivered,4.1,Clear,No Offer,High
ORD00051,CUST0405,07-07-2025,July,Delhi,East,Roll Nation,Healthy,Returning,4,"₹ 1,256.27",₹ 0.00,₹ 0.00,₹ 62.81,"₹ 1,319.08",Debit Card,Zippy,10.5,58,64,6,Yes,Delivered,4,Cold,Free Delivery,High
ORD00052,CUST0310,16-05-2025,May,Chennai,East,Tandoor Tales,Momos,Returning,2,₹ 243.39,₹ 0.00,₹ 55.00,₹ 12.17,₹ 310.56,Debit Card,QuickRider,4.6,35,44,9,No,Cancelled,,Cloudy,No Offer,High
ORD00053,CUST0631,01-03-2025,March,Kolkata,East,Burger Barn,Healthy,New,4,"₹ 1,226.02",₹ 0.00,₹ 35.00,₹ 61.30,"₹ 1,322.32",Wallet,QuickRider,8.4,57,56,-1,No,Delivered,3.8,Clear,No Offer,Medium
ORD00054,CUST0466,24-05-2025,May,Chennai,South,Cafe Crave,Healthy,Premium,3,₹ 735.56,₹ 0.00,₹ 55.00,₹ 36.78,₹ 827.34,Debit Card,Zippy,10.9,58,61,3,No,Delivered,4.8,Clear,No Offer,High
ORD00055,CUST0149,06-12-2025,December,Kolkata,North,Sweet Treats,South Indian,Premium,5,"₹ 1,203.79",₹ 0.00,₹ 25.00,₹ 60.19,"₹ 1,288.98",Wallet,FastFleet,7.5,44,43,-1,No,Delivered,4,Clear,No Offer,High
ORD00056,CUST0526,04-10-2025,October,Delhi,North,Dosa Delight,Biryani,New,1,₹ 235.21,₹ 50.00,₹ 25.00,₹ 9.26,₹ 219.47,Credit Card,UrbanRunner,3.9,30,28,-2,No,Delivered,3.5,Cloudy,Flat 50,High
ORD00057,CUST0068,25-02-2025,February,Mumbai,Central,Flavour Factory,Biryani,Returning,4,"₹ 1,145.28",₹ 0.00,₹ 45.00,₹ 57.26,"₹ 1,247.54",UPI,FastFleet,5.7,35,49,14,Yes,Delivered,4.3,Rainy,No Offer,Medium
ORD00058,CUST0321,21-05-2025,May,Hyderabad,West,Zest Kitchen,Rolls,Returning,5,₹ 889.60,₹ 0.00,₹ 0.00,₹ 44.48,₹ 934.08,UPI,DoorDashPro,5.7,39,48,9,Yes,Delivered,3.9,Clear,Free Delivery,High
ORD00059,CUST0434,11-07-2025,July,Jaipur,North,Pizza Palace,Pizza,New,3,"₹ 1,133.78",₹ 226.76,₹ 25.00,₹ 45.35,₹ 977.37,UPI,Zippy,7.1,53,56,3,No,Delivered,4.9,Rainy,20% Off,High
ORD00060,CUST0637,28-05-2025,May,Bengaluru,Central,Wok Express,Rolls,New,1,₹ 99.00,₹ 0.00,₹ 35.00,₹ 4.95,₹ 138.95,Cash,UrbanRunner,10.3,56,59,3,No,Delivered,4.5,Clear,No Offer,High
ORD00061,CUST0094,12-12-2025,December,Hyderabad,North,Healthy Bowl,Burger,Returning,3,₹ 544.46,₹ 0.00,₹ 0.00,₹ 27.22,₹ 571.68,Debit Card,UrbanRunner,3,28,40,12,Yes,Delivered,3.8,Rainy,Free Delivery,Low
ORD00062,CUST0498,21-04-2025,April,Jaipur,East,Curry Corner,Burger,Returning,5,₹ 935.28,₹ 187.06,₹ 55.00,₹ 37.41,₹ 840.63,Debit Card,UrbanRunner,1.9,21,17,-4,No,Delivered,4.2,Clear,20% Off,High
ORD00063,CUST0057,15-08-2025,August,Mumbai,Central,Curry Corner,Pizza,Returning,5,"₹ 2,314.41",₹ 462.88,₹ 45.00,₹ 92.58,"₹ 1,989.11",Debit Card,Zippy,6.8,44,51,7,No,Refunded,,Clear,20% Off,High
ORD00064,CUST0471,15-04-2025,April,Delhi,East,Momo Street,North Indian,New,2,₹ 803.98,₹ 160.80,₹ 25.00,₹ 32.16,₹ 700.34,Cash,Zippy,6.5,45,41,-4,No,Delivered,4.7,Clear,20% Off,High
ORD00065,CUST0406,10-06-2025,June,Pune,West,Burger Barn,North Indian,Returning,5,"₹ 1,568.48",₹ 0.00,₹ 35.00,₹ 78.42,"₹ 1,681.90",Debit Card,DoorDashPro,2,24,31,7,Yes,Delivered,4.2,Clear,No Offer,High
ORD00066,CUST0078,23-06-2025,June,Delhi,North,Burger Barn,Rolls,Returning,3,₹ 421.03,₹ 0.00,₹ 0.00,₹ 21.05,₹ 442.08,Credit Card,FastFleet,3.6,29,29,0,No,Delivered,5,Clear,Free Delivery,High
ORD00067,CUST0039,18-11-2025,November,Jaipur,Central,Momo Street,Momos,Premium,1,₹ 99.00,₹ 0.00,₹ 35.00,₹ 4.95,₹ 138.95,Debit Card,Zippy,7.5,48,57,9,Yes,Delivered,4.1,Rainy,No Offer,Medium
ORD00068,CUST0352,08-07-2025,July,Bengaluru,Central,Flavour Factory,Momos,Returning,1,₹ 99.00,₹ 34.65,₹ 25.00,₹ 3.22,₹ 92.57,Wallet,Zippy,4.5,43,44,1,No,Delivered,4.5,Rainy,Flat 50,Low
ORD00069,CUST0396,16-09-2025,September,Mumbai,West,Flavour Factory,Healthy,Returning,3,₹ 762.27,₹ 0.00,₹ 55.00,₹ 38.11,₹ 855.38,Credit Card,DoorDashPro,1.6,29,27,-2,No,Delivered,4.8,Clear,No Offer,Low
ORD00070,CUST0019,10-05-2025,May,Bengaluru,Central,Curry Corner,Burger,Returning,1,₹ 201.38,₹ 0.00,₹ 35.00,₹ 10.07,₹ 246.45,Cash,DoorDashPro,9.9,60,68,8,Yes,Delivered,4.4,Clear,No Offer,High
ORD00071,CUST0158,08-06-2025,June,Chennai,West,Sweet Treats,Chinese,Premium,1,₹ 174.99,₹ 0.00,₹ 55.00,₹ 8.75,₹ 238.74,Credit Card,FastFleet,1.4,29,28,-1,No,Delivered,4.3,Hot,No Offer,Medium
ORD00072,CUST0199,03-04-2025,April,Jaipur,North,Curry Corner,Desserts,Returning,5,₹ 877.21,₹ 131.58,₹ 45.00,₹ 37.28,₹ 827.91,Credit Card,DoorDashPro,3.6,32,42,10,No,Cancelled,,Clear,Combo Offer,Medium
ORD00073,CUST0128,14-12-2025,December,Hyderabad,West,Flavour Factory,Rolls,Returning,5,₹ 946.49,₹ 0.00,₹ 0.00,₹ 47.32,₹ 993.81,Credit Card,DoorDashPro,10.6,47,53,6,Yes,Delivered,4.8,Cloudy,Free Delivery,High
ORD00074,CUST0327,12-02-2025,February,Jaipur,Central,Noodle Hub,Burger,New,3,₹ 783.55,₹ 0.00,₹ 0.00,₹ 39.18,₹ 822.73,Credit Card,Zippy,5.6,43,50,7,Yes,Delivered,4.3,Rainy,Free Delivery,High
ORD00075,CUST0624,29-11-2025,November,Delhi,South,Roll Nation,Biryani,Premium,2,₹ 594.29,₹ 118.86,₹ 45.00,₹ 23.77,₹ 544.20,Cash,UrbanRunner,5.9,32,27,-5,No,Delivered,4.6,Hot,20% Off,High
ORD00076,CUST0299,05-08-2025,August,Hyderabad,South,Burger Barn,North Indian,New,5,"₹ 1,616.95",₹ 323.39,₹ 45.00,₹ 64.68,"₹ 1,403.24",Cash,QuickRider,1.7,35,35,0,No,Delivered,3.7,Rainy,20% Off,High
ORD00077,CUST0383,01-01-2025,January,Pune,South,Flavour Factory,Pizza,Premium,5,"₹ 1,993.67",₹ 299.05,₹ 55.00,₹ 84.73,"₹ 1,834.35",UPI,DoorDashPro,9.7,60,72,12,Yes,Delivered,4.3,Rainy,Combo Offer,High
ORD00078,CUST0491,09-01-2025,January,Bengaluru,East,Burger Barn,Chinese,Returning,3,₹ 958.99,₹ 0.00,₹ 55.00,₹ 47.95,"₹ 1,061.94",Debit Card,FastFleet,4.7,34,43,9,No,Refunded,,Hot,No Offer,High
ORD00079,CUST0049,11-03-2025,March,Jaipur,North,Wok Express,North Indian,New,3,"₹ 1,184.71",₹ 0.00,₹ 0.00,₹ 59.24,"₹ 1,243.95",Credit Card,DoorDashPro,6.2,34,35,1,No,Delivered,4,Cloudy,Free Delivery,High
ORD00080,CUST0185,20-05-2025,May,Chennai,West,Cafe Crave,Desserts,Premium,2,₹ 286.11,₹ 0.00,₹ 55.00,₹ 14.31,₹ 355.42,Cash,UrbanRunner,3.9,28,25,-3,No,Delivered,4.3,Cloudy,No Offer,High
ORD00081,CUST0416,31-05-2025,May,Bengaluru,East,Roll Nation,North Indian,Returning,4,"₹ 1,378.53",₹ 0.00,₹ 35.00,₹ 68.93,"₹ 1,482.46",Cash,DoorDashPro,7.8,51,47,-4,No,Delivered,4.4,Clear,No Offer,Medium
ORD00082,CUST0079,20-09-2025,September,Delhi,Central,Urban Bites,Healthy,New,3,₹ 733.81,₹ 146.76,₹ 0.00,₹ 29.35,₹ 616.40,Credit Card,UrbanRunner,7.7,52,58,6,Yes,Delivered,4.9,Cold,20% Off,High
ORD00083,CUST0503,12-03-2025,March,Chennai,East,Burger Barn,Chinese,New,4,"₹ 1,286.49",₹ 50.00,₹ 35.00,₹ 61.82,"₹ 1,333.31",Credit Card,FastFleet,8.7,47,51,4,No,Delivered,4,Cold,Flat 50,High
ORD00084,CUST0206,04-03-2025,March,Bengaluru,West,Cafe Crave,Burger,Premium,1,₹ 166.59,₹ 33.32,₹ 35.00,₹ 6.66,₹ 174.93,Debit Card,FastFleet,10.4,51,53,2,No,Delivered,4.1,Cloudy,20% Off,High
ORD00085,CUST0325,02-05-2025,May,Chennai,Central,Curry Corner,Momos,Returning,1,₹ 211.69,₹ 0.00,₹ 45.00,₹ 10.58,₹ 267.27,Wallet,Zippy,6.8,48,45,-3,No,Delivered,4.5,Hot,No Offer,Low
ORD00086,CUST0532,19-08-2025,August,Chennai,South,Foodie's Stop,Rolls,New,1,₹ 205.19,₹ 0.00,₹ 35.00,₹ 10.26,₹ 250.45,Credit Card,DoorDashPro,2.8,33,35,2,No,Delivered,3.8,Cold,No Offer,Medium
ORD00087,CUST0030,10-02-2025,February,Hyderabad,South,Zest Kitchen,North Indian,Returning,5,"₹ 1,816.18",₹ 363.24,₹ 55.00,₹ 72.65,"₹ 1,580.59",Wallet,Zippy,8.9,51,47,-4,No,Delivered,4.2,Hot,20% Off,Medium
ORD00088,CUST0162,24-01-2025,January,Mumbai,Central,Zest Kitchen,Desserts,Returning,5,₹ 861.06,₹ 0.00,₹ 0.00,₹ 43.05,₹ 904.11,Cash,QuickRider,3.7,38,35,-3,No,Delivered,5,Clear,Free Delivery,High
ORD00089,CUST0461,01-08-2025,August,Mumbai,East,Dosa Delight,Momos,Returning,3,₹ 509.29,₹ 101.86,₹ 35.00,₹ 20.37,₹ 462.80,Debit Card,FastFleet,6.7,38,47,9,Yes,Delivered,3.9,Clear,20% Off,High
ORD00090,CUST0093,14-03-2025,March,Hyderabad,West,Noodle Hub,Momos,New,5,₹ 793.44,₹ 0.00,₹ 0.00,₹ 39.67,₹ 833.11,Credit Card,QuickRider,6.5,50,59,9,Yes,Delivered,3.7,Rainy,Free Delivery,Medium
ORD00091,CUST0411,16-09-2025,September,Mumbai,Central,Urban Bites,South Indian,New,4,₹ 877.80,₹ 50.00,₹ 0.00,₹ 41.39,₹ 869.19,Cash,Zippy,5.7,40,47,7,Yes,Delivered,4.1,Cloudy,Flat 50,High
ORD00092,CUST0204,19-10-2025,October,Hyderabad,North,Flavour Factory,Desserts,Returning,5,₹ 886.58,₹ 0.00,₹ 0.00,₹ 44.33,₹ 930.91,Wallet,UrbanRunner,5.3,40,51,11,Yes,Delivered,3.7,Rainy,No Offer,High
ORD00093,CUST0520,18-09-2025,September,Kolkata,North,Dosa Delight,Biryani,Returning,2,₹ 467.35,₹ 50.00,₹ 35.00,₹ 20.87,₹ 473.22,Cash,UrbanRunner,11.2,58,62,4,No,Delivered,3.8,Clear,Flat 50,High
ORD00094,CUST0598,30-09-2025,September,Hyderabad,West,Curry Corner,Biryani,Returning,5,"₹ 1,325.64",₹ 198.85,₹ 0.00,₹ 56.34,"₹ 1,183.13",UPI,QuickRider,7.6,45,47,2,No,Delivered,5,Cold,Combo Offer,Medium
ORD00095,CUST0532,29-03-2025,March,Mumbai,North,Burger Barn,Momos,New,2,₹ 287.70,₹ 0.00,₹ 55.00,₹ 14.38,₹ 357.08,Cash,FastFleet,9.5,58,54,-4,No,Delivered,4.5,Hot,No Offer,High
ORD00096,CUST0231,15-10-2025,October,Jaipur,Central,Momo Street,Desserts,Premium,3,₹ 449.40,₹ 0.00,₹ 0.00,₹ 22.47,₹ 471.87,Cash,DoorDashPro,7.7,44,47,3,No,Delivered,4,Cold,Free Delivery,Medium
ORD00097,CUST0081,28-05-2025,May,Jaipur,East,Curry Corner,Healthy,Returning,5,"₹ 1,454.35",₹ 0.00,₹ 45.00,₹ 72.72,"₹ 1,572.07",Debit Card,DoorDashPro,10,49,53,4,No,Cancelled,,Clear,No Offer,Medium
ORD00098,CUST0484,15-08-2025,August,Jaipur,South,Quick Fork,Chinese,New,2,₹ 525.04,₹ 105.01,₹ 0.00,₹ 21.00,₹ 441.03,Wallet,Zippy,7.8,45,47,2,No,Delivered,4.7,Clear,20% Off,High
ORD00099,CUST0180,15-12-2025,December,Delhi,West,Meal Monk,Healthy,Returning,1,₹ 335.12,₹ 0.00,₹ 0.00,₹ 16.76,₹ 351.88,Debit Card,QuickRider,8.2,46,47,1,No,Cancelled,,Rainy,No Offer,Medium
ORD00100,CUST0480,01-04-2025,April,Pune,West,Roll Nation,Burger,Premium,5,"₹ 1,329.51",₹ 0.00,₹ 35.00,₹ 66.48,"₹ 1,430.99",UPI,DoorDashPro,6,50,54,4,No,Delivered,5,Rainy,No Offer,Medium
ORD00101,CUST0098,09-04-2025,April,Delhi,West,Biryani House,North Indian,New,5,"₹ 1,713.29",₹ 0.00,₹ 0.00,₹ 85.66,"₹ 1,798.95",Debit Card,FastFleet,10.4,58,63,5,No,Delivered,3.9,Hot,Free Delivery,High
